numberOfPEs,replicationLevel,roundsUntilIrrecoverableDataLoss
64,4,25
64,4,36
64,4,31
64,4,25
64,4,34
64,4,33
64,4,36
128,4,62
128,4,70
128,4,54
128,4,47
128,4,48
128,4,45
128,4,38
128,4,58
128,4,51
128,4,50
256,4,53
256,4,91
256,4,112
256,4,76
256,4,96
256,4,121
256,4,121
256,4,100
256,4,90
256,4,94
512,4,172
512,4,95
512,4,87
512,4,123
512,4,139
512,4,119
512,4,82
512,4,198
512,4,110
512,4,159
1024,4,153
1024,4,223
1024,4,298
1024,4,178
1024,4,281
1024,4,333
1024,4,287
1024,4,333
1024,4,245
1024,4,298
2048,4,389
2048,4,302
2048,4,355
2048,4,404
2048,4,455
2048,4,414
2048,4,389
2048,4,442
2048,4,339
2048,4,428
4096,4,716
4096,4,348
4096,4,534
4096,4,891
4096,4,738
4096,4,773
4096,4,982
4096,4,1008
4096,4,675
4096,4,761
8192,4,1004
8192,4,854
8192,4,1412
8192,4,1081
8192,4,538
8192,4,1596
8192,4,1398
8192,4,1228
8192,4,1135
8192,4,1324
16384,4,1657
16384,4,1923
16384,4,2175
16384,4,1447
16384,4,1611
16384,4,2583
16384,4,2034
16384,4,1981
16384,4,1407
16384,4,1794
32768,4,2352
32768,4,3471
32768,4,2524
32768,4,1773
32768,4,3903
32768,4,3528
32768,4,2964
32768,4,1702
32768,4,3493
32768,4,3187
65536,4,5096
65536,4,7350
65536,4,4414
65536,4,2599
65536,4,7272
65536,4,9212
65536,4,5560
65536,4,7151
65536,4,7662
65536,4,7336
131072,4,6956
131072,4,9099
131072,4,10132
131072,4,13198
131072,4,7606
131072,4,6486
131072,4,9414
131072,4,7836
131072,4,7432
131072,4,7795
262144,4,10231
262144,4,10815
262144,4,17439
262144,4,8277
262144,4,11222
262144,4,22202
262144,4,9867
262144,4,13684
262144,4,16790
262144,4,16750
524288,4,22975
524288,4,26882
524288,4,31658
524288,4,24540
524288,4,19941
524288,4,25844
524288,4,13582
524288,4,27254
524288,4,26569
524288,4,33248
1048576,4,42323
1048576,4,48092
1048576,4,22098
1048576,4,35334
1048576,4,22846
1048576,4,48897
1048576,4,56192
1048576,4,32804
1048576,4,22641
1048576,4,45923
2097152,4,83220
2097152,4,22262
2097152,4,63347
2097152,4,81340
2097152,4,57240
2097152,4,84070
2097152,4,86098
2097152,4,101738
2097152,4,89258
2097152,4,72158
4194304,4,70006
4194304,4,89019
4194304,4,46712
4194304,4,155730
4194304,4,151180
4194304,4,78655
4194304,4,104452
4194304,4,151483
4194304,4,107271
4194304,4,117615
8388608,4,127671
8388608,4,152334
8388608,4,275003
8388608,4,246403
8388608,4,226957
8388608,4,165677
8388608,4,185852
8388608,4,183044
8388608,4,177408
8388608,4,222416
16777216,4,316266
16777216,4,347086
16777216,4,274095
16777216,4,261796
16777216,4,267896
16777216,4,160879
16777216,4,319056
16777216,4,159238
16777216,4,359811
16777216,4,455557
33554432,4,496610
33554432,4,430902
33554432,4,483425
33554432,4,449450
33554432,4,717457
33554432,4,520387
33554432,4,498014
33554432,4,287926
33554432,4,634721
33554432,4,809837
8,5,6
8,5,6
8,5,5
8,5,6
8,5,6
8,5,6
8,5,6
8,5,4
8,5,6
8,5,4
16,5,10
16,5,9
16,5,11
16,5,7
16,5,9
16,5,8
16,5,9
16,5,12
16,5,10
16,5,9
32,5,13
32,5,17
32,5,18
32,5,20
32,5,18
32,5,18
32,5,20
32,5,16
32,5,20
32,5,22
64,5,37
64,5,35
64,5,29
64,5,24
64,5,31
64,5,34
64,5,25
64,5,32
64,5,43
64,5,27
128,5,49
128,5,54
128,5,44
128,5,56
128,5,54
128,5,49
128,5,50
128,5,40
128,5,46
128,5,31
256,5,100
256,5,70
256,5,43
256,5,94
256,5,90
256,5,46
256,5,93
256,5,59
256,5,89
256,5,89
512,5,97
512,5,147
512,5,175
512,5,96
512,5,163
512,5,159
512,5,180
512,5,107
512,5,143
512,5,158
1024,5,247
1024,5,288
1024,5,239
1024,5,192
1024,5,262
1024,5,179
1024,5,236
1024,5,262
1024,5,338
1024,5,292
2048,5,482
2048,5,267
2048,5,428
2048,5,374
2048,5,149
2048,5,404
2048,5,495
2048,5,420
2048,5,629
2048,5,39
4096,5,782
4096,5,1133
4096,5,728
4096,5,418
4096,5,876
4096,5,561
4096,5,767
4096,5,706
4096,5,648
4096,5,607
8192,5,753
8192,5,1109
8192,5,1195
8192,5,1327
8192,5,1094
8192,5,1322
8192,5,1239
8192,5,1045
8192,5,1020
8192,5,1101
16384,5,1799
16384,5,2296
16384,5,2881
16384,5,2226
16384,5,2670
16384,5,2240
16384,5,2288
16384,5,2878
16384,5,2200
16384,5,1830
32768,5,3623
32768,5,3902
32768,5,2439
32768,5,3736
32768,5,4437
32768,5,2595
32768,5,2279
32768,5,3179
32768,5,4133
32768,5,2603
65536,5,7803
65536,5,7601
65536,5,4777
65536,5,6957
65536,5,6687
65536,5,4277
65536,5,4794
65536,5,5348
65536,5,7969
65536,5,4635
131072,5,7198
131072,5,11275
131072,5,15542
131072,5,14945
131072,5,12530
131072,5,7894
131072,5,13736
131072,5,14505
131072,5,14512
131072,5,11539
262144,5,19804
262144,5,24727
262144,5,25003
262144,5,23353
262144,5,20482
262144,5,12396
262144,5,21347
262144,5,18888
262144,5,18727
262144,5,24830
524288,5,42759
524288,5,38820
524288,5,38715
524288,5,33877
524288,5,34285
524288,5,28308
524288,5,30366
524288,5,43230
524288,5,49555
524288,5,37038
1048576,5,72342
1048576,5,59519
1048576,5,25432
1048576,5,82545
1048576,5,84807
1048576,5,50145
1048576,5,59346
1048576,5,78075
1048576,5,31251
1048576,5,68599
2097152,5,61340
2097152,5,106607
2097152,5,129309
2097152,5,129250
2097152,5,81629
2097152,5,93637
2097152,5,104904
2097152,5,75489
2097152,5,106710
2097152,5,139178
4194304,5,165650
4194304,5,197479
4194304,5,84247
4194304,5,241566
4194304,5,169983
4194304,5,138261
4194304,5,161362
4194304,5,123680
4194304,5,191642
4194304,5,221440
8388608,5,246334
8388608,5,346537
8388608,5,380561
8388608,5,296234
8388608,5,385133
8388608,5,353422
8388608,5,295278
8388608,5,426859
8388608,5,305579
8388608,5,360430
16777216,5,549516
16777216,5,656795
16777216,5,313963
16777216,5,456670
16777216,5,724293
16777216,5,558280
16777216,5,614347
16777216,5,721629
16777216,5,473380
16777216,5,721510
33554432,5,760154
33554432,5,1270461
33554432,5,511295
33554432,5,1272380
33554432,5,905681
33554432,5,721280
33554432,5,1273274
33554432,5,1466611
33554432,5,1397281
33554432,5,1139743
8,6,6
8,6,6
8,6,5
8,6,6
8,6,6
8,6,6
8,6,5
8,6,6
8,6,6
8,6,5
16,6,9
16,6,9
16,6,12
16,6,10
16,6,10
16,6,10
16,6,12
16,6,12
16,6,7
16,6,8
32,6,16
32,6,18
32,6,15
32,6,20
32,6,24
32,6,14
32,6,20
32,6,23
32,6,22
32,6,21
64,6,43
64,6,35
64,6,38
64,6,37
64,6,42
64,6,36
64,6,29
64,6,39
64,6,27
64,6,26
128,6,69
128,6,78
128,6,65
128,6,70
128,6,61
128,6,40
128,6,37
128,6,63
128,6,61
128,6,58
256,6,61
256,6,92
256,6,107
256,6,115
256,6,122
256,6,105
256,6,108
256,6,121
256,6,81
256,6,63
512,6,160
512,6,152
512,6,153
512,6,166
512,6,194
512,6,169
512,6,130
512,6,171
512,6,220
512,6,193
1024,6,365
1024,6,326
1024,6,284
1024,6,395
1024,6,407
1024,6,305
1024,6,279
1024,6,392
1024,6,399
1024,6,337
2048,6,432
2048,6,699
2048,6,674
2048,6,576
2048,6,613
2048,6,576
2048,6,524
2048,6,627
2048,6,367
2048,6,471
4096,6,1206
4096,6,776
4096,6,1316
4096,6,1173
4096,6,723
4096,6,1182
4096,6,1329
4096,6,1096
4096,6,1097
4096,6,997
8192,6,1890
8192,6,1908
8192,6,1815
8192,6,1294
8192,6,2026
8192,6,1480
8192,6,2064
8192,6,1984
8192,6,1736
8192,6,1336
16384,6,4022
16384,6,2829
16384,6,3062
16384,6,3311
16384,6,1939
16384,6,3929
16384,6,2884
16384,6,3221
16384,6,2822
16384,6,3213
32768,6,6832
32768,6,5514
32768,6,6763
32768,6,5490
32768,6,6077
32768,6,8652
32768,6,5049
32768,6,7190
32768,6,5443
32768,6,6959
65536,6,10945
65536,6,11006
65536,6,9181
65536,6,9256
65536,6,10709
65536,6,8621
65536,6,9443
65536,6,8416
