numerOfPEs,name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
2,"BM_submitBlocks/256/2/1048576/manual_time",75,9.3691,12.8774,ms,,,,,
2,"BM_submitBlocks/256/2/1048576/manual_time",75,9.37789,12.8873,ms,,,,,
2,"BM_submitBlocks/256/2/1048576/manual_time",75,9.39362,12.9108,ms,,,,,
2,"BM_submitBlocks/256/2/1048576/manual_time",75,9.40427,12.9255,ms,,,,,
2,"BM_submitBlocks/256/2/1048576/manual_time",75,9.40428,12.9036,ms,,,,,
2,"BM_submitBlocks/256/2/1048576/manual_time_mean",5,9.38983,12.901,ms,,,,,
2,"BM_submitBlocks/256/2/1048576/manual_time_median",5,9.39362,12.9036,ms,,,,,
2,"BM_submitBlocks/256/2/1048576/manual_time_stddev",5,0.0158412,0.0190238,ms,,,,,
2,"BM_submitBlocks/512/2/1048576/manual_time",75,9.26933,12.5671,ms,,,,,
2,"BM_submitBlocks/512/2/1048576/manual_time",75,9.27413,12.583,ms,,,,,
2,"BM_submitBlocks/512/2/1048576/manual_time",75,9.34506,12.6953,ms,,,,,
2,"BM_submitBlocks/512/2/1048576/manual_time",75,9.27229,12.5753,ms,,,,,
2,"BM_submitBlocks/512/2/1048576/manual_time",75,9.27105,12.5745,ms,,,,,
2,"BM_submitBlocks/512/2/1048576/manual_time_mean",5,9.28637,12.599,ms,,,,,
2,"BM_submitBlocks/512/2/1048576/manual_time_median",5,9.27229,12.5753,ms,,,,,
2,"BM_submitBlocks/512/2/1048576/manual_time_stddev",5,0.0328528,0.0541011,ms,,,,,
2,"BM_submitBlocks/1024/2/1048576/manual_time",76,9.19352,12.5159,ms,,,,,
2,"BM_submitBlocks/1024/2/1048576/manual_time",76,9.22407,12.56,ms,,,,,
2,"BM_submitBlocks/1024/2/1048576/manual_time",76,9.13322,12.4507,ms,,,,,
2,"BM_submitBlocks/1024/2/1048576/manual_time",76,9.0903,12.4039,ms,,,,,
2,"BM_submitBlocks/1024/2/1048576/manual_time",76,9.09382,12.4041,ms,,,,,
2,"BM_submitBlocks/1024/2/1048576/manual_time_mean",5,9.14699,12.4669,ms,,,,,
2,"BM_submitBlocks/1024/2/1048576/manual_time_median",5,9.13322,12.4507,ms,,,,,
2,"BM_submitBlocks/1024/2/1048576/manual_time_stddev",5,0.0598695,0.069342,ms,,,,,
2,"BM_submitBlocks/1048576/2/1048576/manual_time",90,7.78377,10.8303,ms,,,,,
2,"BM_submitBlocks/1048576/2/1048576/manual_time",90,7.85666,10.8997,ms,,,,,
2,"BM_submitBlocks/1048576/2/1048576/manual_time",90,7.65441,10.7122,ms,,,,,
2,"BM_submitBlocks/1048576/2/1048576/manual_time",90,7.79058,10.8308,ms,,,,,
2,"BM_submitBlocks/1048576/2/1048576/manual_time",90,7.79861,10.8394,ms,,,,,
2,"BM_submitBlocks/1048576/2/1048576/manual_time_mean",5,7.77681,10.8225,ms,,,,,
2,"BM_submitBlocks/1048576/2/1048576/manual_time_median",5,7.79058,10.8308,ms,,,,,
2,"BM_submitBlocks/1048576/2/1048576/manual_time_stddev",5,0.0742813,0.0680673,ms,,,,,
2,"BM_submitBlocks/8/3/1048576/manual_time",30,23.7269,37.3697,ms,,,,,
2,"BM_submitBlocks/8/3/1048576/manual_time",30,23.7724,37.3129,ms,,,,,
2,"BM_submitBlocks/8/3/1048576/manual_time",30,23.8326,37.3944,ms,,,,,
2,"BM_submitBlocks/8/3/1048576/manual_time",30,23.8385,37.4205,ms,,,,,
2,"BM_submitBlocks/8/3/1048576/manual_time",30,23.8687,37.4067,ms,,,,,
2,"BM_submitBlocks/8/3/1048576/manual_time_mean",5,23.8078,37.3808,ms,,,,,
2,"BM_submitBlocks/8/3/1048576/manual_time_median",5,23.8326,37.3944,ms,,,,,
2,"BM_submitBlocks/8/3/1048576/manual_time_stddev",5,0.0571522,0.0422907,ms,,,,,
2,"BM_submitBlocks/16/3/1048576/manual_time",41,17.1882,24.9242,ms,,,,,
2,"BM_submitBlocks/16/3/1048576/manual_time",41,17.1791,24.9065,ms,,,,,
2,"BM_submitBlocks/16/3/1048576/manual_time",41,17.1547,24.9237,ms,,,,,
2,"BM_submitBlocks/16/3/1048576/manual_time",41,17.142,24.8677,ms,,,,,
2,"BM_submitBlocks/16/3/1048576/manual_time",41,17.1583,24.9338,ms,,,,,
2,"BM_submitBlocks/16/3/1048576/manual_time_mean",5,17.1645,24.9112,ms,,,,,
2,"BM_submitBlocks/16/3/1048576/manual_time_median",5,17.1583,24.9237,ms,,,,,
2,"BM_submitBlocks/16/3/1048576/manual_time_stddev",5,0.0188132,0.0262205,ms,,,,,
2,"BM_submitBlocks/32/3/1048576/manual_time",53,13.3635,18.6571,ms,,,,,
2,"BM_submitBlocks/32/3/1048576/manual_time",53,13.367,18.6582,ms,,,,,
2,"BM_submitBlocks/32/3/1048576/manual_time",53,13.453,18.8244,ms,,,,,
2,"BM_submitBlocks/32/3/1048576/manual_time",53,13.4035,18.6839,ms,,,,,
2,"BM_submitBlocks/32/3/1048576/manual_time",53,13.337,18.6229,ms,,,,,
2,"BM_submitBlocks/32/3/1048576/manual_time_mean",5,13.3848,18.6893,ms,,,,,
2,"BM_submitBlocks/32/3/1048576/manual_time_median",5,13.367,18.6582,ms,,,,,
2,"BM_submitBlocks/32/3/1048576/manual_time_stddev",5,0.0448967,0.0785596,ms,,,,,
2,"BM_submitBlocks/64/3/1048576/manual_time",53,13.0792,17.3359,ms,,,,,
2,"BM_submitBlocks/64/3/1048576/manual_time",53,13.0572,17.3171,ms,,,,,
2,"BM_submitBlocks/64/3/1048576/manual_time",53,13.0311,17.2907,ms,,,,,
2,"BM_submitBlocks/64/3/1048576/manual_time",53,13.0216,17.302,ms,,,,,
2,"BM_submitBlocks/64/3/1048576/manual_time",53,13.3054,17.636,ms,,,,,
2,"BM_submitBlocks/64/3/1048576/manual_time_mean",5,13.0989,17.3763,ms,,,,,
2,"BM_submitBlocks/64/3/1048576/manual_time_median",5,13.0572,17.3171,ms,,,,,
2,"BM_submitBlocks/64/3/1048576/manual_time_stddev",5,0.117619,0.146148,ms,,,,,
2,"BM_submitBlocks/128/3/1048576/manual_time",54,12.9828,16.7517,ms,,,,,
2,"BM_submitBlocks/128/3/1048576/manual_time",54,12.9746,16.738,ms,,,,,
2,"BM_submitBlocks/128/3/1048576/manual_time",54,13.0508,16.8156,ms,,,,,
2,"BM_submitBlocks/128/3/1048576/manual_time",54,13.2804,17.0938,ms,,,,,
2,"BM_submitBlocks/128/3/1048576/manual_time",54,13.0176,16.7624,ms,,,,,
2,"BM_submitBlocks/128/3/1048576/manual_time_mean",5,13.0612,16.8323,ms,,,,,
2,"BM_submitBlocks/128/3/1048576/manual_time_median",5,13.0176,16.7624,ms,,,,,
2,"BM_submitBlocks/128/3/1048576/manual_time_stddev",5,0.126188,0.14911,ms,,,,,
2,"BM_submitBlocks/256/3/1048576/manual_time",55,12.7966,16.3243,ms,,,,,
2,"BM_submitBlocks/256/3/1048576/manual_time",55,12.7804,16.312,ms,,,,,
2,"BM_submitBlocks/256/3/1048576/manual_time",55,12.7678,16.2856,ms,,,,,
2,"BM_submitBlocks/256/3/1048576/manual_time",55,12.7587,16.2796,ms,,,,,
2,"BM_submitBlocks/256/3/1048576/manual_time",55,12.7485,16.28,ms,,,,,
2,"BM_submitBlocks/256/3/1048576/manual_time_mean",5,12.7704,16.2963,ms,,,,,
2,"BM_submitBlocks/256/3/1048576/manual_time_median",5,12.7678,16.2856,ms,,,,,
2,"BM_submitBlocks/256/3/1048576/manual_time_stddev",5,0.0187513,0.0205659,ms,,,,,
2,"BM_submitBlocks/512/3/1048576/manual_time",56,12.5809,15.9044,ms,,,,,
2,"BM_submitBlocks/512/3/1048576/manual_time",56,12.6603,16.0204,ms,,,,,
2,"BM_submitBlocks/512/3/1048576/manual_time",56,12.5997,15.9312,ms,,,,,
2,"BM_submitBlocks/512/3/1048576/manual_time",56,12.5927,15.9233,ms,,,,,
2,"BM_submitBlocks/512/3/1048576/manual_time",56,12.5785,15.9058,ms,,,,,
2,"BM_submitBlocks/512/3/1048576/manual_time_mean",5,12.6024,15.9371,ms,,,,,
2,"BM_submitBlocks/512/3/1048576/manual_time_median",5,12.5927,15.9233,ms,,,,,
2,"BM_submitBlocks/512/3/1048576/manual_time_stddev",5,0.0334856,0.0479882,ms,,,,,
2,"BM_submitBlocks/1024/3/1048576/manual_time",57,12.3835,15.7093,ms,,,,,
2,"BM_submitBlocks/1024/3/1048576/manual_time",57,12.3766,15.7064,ms,,,,,
2,"BM_submitBlocks/1024/3/1048576/manual_time",57,12.4216,15.7451,ms,,,,,
2,"BM_submitBlocks/1024/3/1048576/manual_time",57,12.3982,15.7359,ms,,,,,
2,"BM_submitBlocks/1024/3/1048576/manual_time",57,12.398,15.7331,ms,,,,,
2,"BM_submitBlocks/1024/3/1048576/manual_time_mean",5,12.3956,15.726,ms,,,,,
2,"BM_submitBlocks/1024/3/1048576/manual_time_median",5,12.398,15.7331,ms,,,,,
2,"BM_submitBlocks/1024/3/1048576/manual_time_stddev",5,0.0172949,0.0171666,ms,,,,,
2,"BM_submitBlocks/1048576/3/1048576/manual_time",68,10.3904,13.4749,ms,,,,,
2,"BM_submitBlocks/1048576/3/1048576/manual_time",68,10.3361,13.426,ms,,,,,
2,"BM_submitBlocks/1048576/3/1048576/manual_time",68,10.3818,13.4704,ms,,,,,
2,"BM_submitBlocks/1048576/3/1048576/manual_time",68,10.3703,13.4506,ms,,,,,
2,"BM_submitBlocks/1048576/3/1048576/manual_time",68,10.3491,13.4381,ms,,,,,
2,"BM_submitBlocks/1048576/3/1048576/manual_time_mean",5,10.3655,13.452,ms,,,,,
