code,numberOfNodes,benchmark,bytesPerBlock,replicationLevel,bytesPerRank,iterations,real_time,cpu_time,time_unit
with-id-compression,4,submitBlocks,8,4,67108864,1,14344.3,15371.1,ms
with-id-compression,4,submitBlocks,8,4,67108864,1,14317.9,15421.1,ms
with-id-compression,4,submitBlocks,8,4,67108864,1,14289.5,15205.9,ms
with-id-compression,4,submitBlocks,8,4,67108864,1,14380,15501.5,ms
with-id-compression,4,submitBlocks,1024,4,67108864,1,3836.36,4063.15,ms
with-id-compression,4,submitBlocks,1024,4,67108864,1,3633.49,3889.36,ms
with-id-compression,4,submitBlocks,1024,4,67108864,1,3616.94,3873.86,ms
with-id-compression,4,submitBlocks,1024,4,67108864,1,3598.12,3856.95,ms
with-id-compression,4,submitBlocks,1024,4,67108864,1,3545.63,3803.81,ms
with-id-compression,4,submitBlocks,1048576,4,67108864,1,3572.78,3806.5,ms
with-id-compression,4,submitBlocks,1048576,4,67108864,1,3540.17,3776.49,ms
with-id-compression,4,submitBlocks,1048576,4,67108864,1,3524.99,3761.81,ms
with-id-compression,4,submitBlocks,1048576,4,67108864,1,3510.76,3745.42,ms
with-id-compression,4,submitBlocks,1048576,4,67108864,1,3557.23,3807.49,ms
with-id-compression,4,pushBlocks,8,2,1048576,1,901.731,903.686,ms
with-id-compression,4,pushBlocks,8,2,1048576,1,523.915,526.822,ms
with-id-compression,4,pushBlocks,8,2,1048576,1,293.579,297.304,ms
with-id-compression,4,pushBlocks,8,2,1048576,1,229.258,233.144,ms
with-id-compression,4,pushBlocks,8,2,1048576,1,294.891,298.742,ms
with-id-compression,4,pushBlocks,1024,2,1048576,208,3.36813,3.40502,ms
with-id-compression,4,pushBlocks,1024,2,1048576,208,3.36841,3.40414,ms
with-id-compression,4,pushBlocks,1024,2,1048576,208,3.39227,3.42924,ms
with-id-compression,4,pushBlocks,1024,2,1048576,208,3.5097,3.5468,ms
with-id-compression,4,pushBlocks,1024,2,1048576,208,3.43168,3.46851,ms
with-id-compression,4,pushBlocks,1048576,2,1048576,130,5.3696,5.34774,ms
with-id-compression,4,pushBlocks,1048576,2,1048576,130,5.36416,5.34116,ms
with-id-compression,4,pushBlocks,1048576,2,1048576,130,5.40725,5.38652,ms
with-id-compression,4,pushBlocks,1048576,2,1048576,130,5.38526,5.36453,ms
with-id-compression,4,pushBlocks,1048576,2,1048576,130,5.42565,5.40341,ms
with-id-compression,4,pushBlocks,8,3,1048576,52,12.7748,18.5588,ms
with-id-compression,4,pushBlocks,8,3,1048576,52,12.4347,18.4822,ms
with-id-compression,4,pushBlocks,8,3,1048576,52,11.859,17.6612,ms
with-id-compression,4,pushBlocks,8,3,1048576,52,11.962,17.7266,ms
with-id-compression,4,pushBlocks,8,3,1048576,52,11.8605,17.6366,ms
with-id-compression,4,pushBlocks,1024,3,1048576,175,4.19819,4.22887,ms
with-id-compression,4,pushBlocks,1024,3,1048576,175,3.94793,3.97876,ms
with-id-compression,4,pushBlocks,1024,3,1048576,175,3.93084,3.96172,ms
with-id-compression,4,pushBlocks,1024,3,1048576,175,4.14251,4.1734,ms
with-id-compression,4,pushBlocks,1024,3,1048576,175,3.98005,4.01118,ms
with-id-compression,4,pushBlocks,1048576,3,1048576,75,9.3313,9.29088,ms
with-id-compression,4,pushBlocks,1048576,3,1048576,75,9.32879,9.2878,ms
with-id-compression,4,pushBlocks,1048576,3,1048576,75,9.33405,9.29336,ms
with-id-compression,4,pushBlocks,1048576,3,1048576,75,9.31889,9.27739,ms
with-id-compression,4,pushBlocks,1048576,3,1048576,75,9.32622,9.28445,ms
with-id-compression,4,pushBlocks,8,4,1048576,57,12.4041,18.1462,ms
with-id-compression,4,pushBlocks,8,4,1048576,57,12.4114,18.1542,ms
with-id-compression,4,pushBlocks,8,4,1048576,57,12.3152,18.0896,ms
with-id-compression,4,pushBlocks,8,4,1048576,57,12.7259,18.5928,ms
with-id-compression,4,pushBlocks,8,4,1048576,57,12.4396,18.214,ms
with-id-compression,4,pushBlocks,1024,4,1048576,144,4.89833,4.92123,ms
with-id-compression,4,pushBlocks,1024,4,1048576,144,4.89142,4.90627,ms
with-id-compression,4,pushBlocks,1024,4,1048576,144,5.13442,5.15822,ms
with-id-compression,4,pushBlocks,1024,4,1048576,144,5.09163,5.11427,ms
with-id-compression,4,pushBlocks,1024,4,1048576,144,4.86642,4.88924,ms
with-id-compression,4,pushBlocks,1048576,4,1048576,53,13.3154,13.2551,ms
with-id-compression,4,pushBlocks,1048576,4,1048576,53,13.3062,13.2482,ms
with-id-compression,4,pushBlocks,1048576,4,1048576,53,13.2974,13.2383,ms
with-id-compression,4,pushBlocks,1048576,4,1048576,53,13.3234,13.2629,ms
with-id-compression,4,pushBlocks,1048576,4,1048576,53,13.3375,13.2793,ms
with-id-compression,4,pushBlocks,8,2,16777216,3,195.544,286.232,ms
with-id-compression,4,pushBlocks,8,2,16777216,3,196.376,289.826,ms
with-id-compression,4,pushBlocks,8,2,16777216,3,190.392,286.352,ms
with-id-compression,4,pushBlocks,8,2,16777216,3,195.685,289.376,ms
with-id-compression,4,pushBlocks,8,2,16777216,3,191.738,285.312,ms
with-id-compression,4,pushBlocks,1024,2,16777216,10,66.665,67.3328,ms
with-id-compression,4,pushBlocks,1024,2,16777216,10,67.5062,68.5303,ms
with-id-compression,4,pushBlocks,1024,2,16777216,10,67.9077,68.6456,ms
with-id-compression,4,pushBlocks,1024,2,16777216,10,66.8032,67.4787,ms
with-id-compression,4,pushBlocks,1024,2,16777216,10,66.541,67.3094,ms
with-id-compression,4,pushBlocks,1048576,2,16777216,11,64.3113,63.8698,ms
with-id-compression,4,pushBlocks,1048576,2,16777216,11,65.9223,65.4825,ms
with-id-compression,4,pushBlocks,1048576,2,16777216,11,64.7533,64.3583,ms
with-id-compression,4,pushBlocks,1048576,2,16777216,11,63.7637,63.2992,ms
with-id-compression,4,pushBlocks,1048576,2,16777216,11,64.5324,64.0481,ms
with-id-compression,4,pushBlocks,8,3,16777216,3,210.351,304.606,ms
with-id-compression,4,pushBlocks,8,3,16777216,3,205.937,293.63,ms
with-id-compression,4,pushBlocks,8,3,16777216,3,204.745,298.99,ms
with-id-compression,4,pushBlocks,8,3,16777216,3,208.686,305.644,ms
with-id-compression,4,pushBlocks,8,3,16777216,3,203.322,294.167,ms
with-id-compression,4,pushBlocks,1024,3,16777216,8,82.7414,83.0298,ms
