idRandomization,numberOfNodes,benchmark,bytesPerBlock,replicationLevel,bytesPerRank,blocksPerPermutationRange,promilleOfRanksThatFail,iterations,real_time,cpu_time,time_unit
TRUE,16,pullBlocksSmallRange,64,4,16777216,2048,10,376,1.86796,2.18833,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2048,10,376,1.8191,2.08719,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2048,10,376,1.89818,2.21812,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2048,10,376,1.83682,2.13783,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,2048,10,376,1.84933,2.16818,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4096,10,382,1.83783,2.13734,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4096,10,382,1.89787,2.2121,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4096,10,382,1.84785,2.13599,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4096,10,382,1.8478,2.14227,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,4096,10,382,1.84208,2.15032,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8192,10,354,1.96797,2.31425,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8192,10,354,1.99814,2.34253,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8192,10,354,2.01538,2.37065,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8192,10,354,1.97915,2.32037,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,8192,10,354,1.97831,2.3174,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16384,10,328,2.09074,2.46649,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16384,10,328,2.06531,2.42267,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16384,10,328,2.04331,2.40404,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16384,10,328,2.07114,2.42724,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,16384,10,328,2.08597,2.43053,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32768,10,331,2.05075,2.40498,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32768,10,331,2.11672,2.46637,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32768,10,331,2.10968,2.4324,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32768,10,331,2.09875,2.42322,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,32768,10,331,2.11802,2.45809,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,65536,10,282,2.41945,2.80803,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,65536,10,282,2.33971,2.73679,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,65536,10,282,2.36473,2.77865,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,65536,10,282,2.36845,2.75796,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,65536,10,282,2.33709,2.75777,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,131072,10,238,2.95971,3.41957,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,131072,10,238,2.93884,3.4428,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,131072,10,238,2.88723,3.36371,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,131072,10,238,2.91208,3.39821,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,131072,10,238,2.91695,3.38998,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,262144,10,180,3.8534,4.44668,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,262144,10,180,3.9082,4.50132,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,262144,10,180,3.82432,4.43585,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,262144,10,180,3.86291,4.46488,ms
TRUE,16,pullBlocksSmallRange,64,4,16777216,262144,10,180,3.79016,4.39109,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1,10,82,8.76506,8.8175,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1,10,82,8.56463,8.60844,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1,10,82,8.52829,8.5437,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1,10,82,8.57652,8.61337,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1,10,82,8.54767,8.59316,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2,10,130,5.29884,5.33045,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2,10,130,5.31065,5.32538,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2,10,130,5.33179,5.37745,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2,10,130,5.30171,5.33219,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,2,10,130,5.31394,5.33071,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4,10,231,3.03046,3.05209,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4,10,231,3.02627,3.04029,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4,10,231,3.02892,3.05254,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4,10,231,3.18932,3.20723,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,4,10,231,3.02872,3.04842,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8,10,314,2.22141,2.24094,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8,10,314,2.22365,2.24695,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8,10,314,2.22775,2.24506,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8,10,314,2.2259,2.24763,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,8,10,314,2.22802,2.24709,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16,10,408,1.71987,1.73973,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16,10,408,1.71492,1.74243,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16,10,408,1.72145,1.73641,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16,10,408,1.71957,1.73333,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,16,10,408,1.71598,1.73969,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32,10,451,1.54608,1.56149,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32,10,451,1.54535,1.56084,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32,10,451,1.54337,1.57664,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32,10,451,1.54722,1.56424,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,32,10,451,1.54259,1.56589,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,64,10,541,1.28745,1.33917,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,64,10,541,1.287,1.30707,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,64,10,541,1.28798,1.30407,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,64,10,541,1.2874,1.31261,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,64,10,541,1.2879,1.30855,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,128,10,683,1.01863,1.05704,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,128,10,683,1.02154,1.06029,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,128,10,683,1.02008,1.03376,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,128,10,683,1.01949,1.03326,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,128,10,683,1.01883,1.05786,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,256,10,880,0.789573,0.803257,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,256,10,880,0.789711,0.804988,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,256,10,880,0.788993,0.807523,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,256,10,880,0.790241,0.806415,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,256,10,880,0.789816,0.805627,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,512,10,1025,0.675943,0.699713,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,512,10,1025,0.677131,0.693741,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,512,10,1025,0.676713,0.69024,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,512,10,1025,0.676795,0.692439,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,512,10,1025,0.676026,0.689459,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1024,10,1115,0.624844,0.640732,ms
TRUE,1,pullBlocksSmallRange,64,4,16777216,1024,10,1115,0.624377,0.640418,ms
